Loading channels: ...working... done
open-clip-torch               2.11.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.12.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.13.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.14.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.15.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.16.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.16.0    pyhd8ed1ab_1  anaconda/cloud/conda-forge
open-clip-torch               2.16.2    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.17.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.17.2    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.18.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.19.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.22.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.23.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.23.0    pyhd8ed1ab_1  anaconda/cloud/conda-forge
open-clip-torch               2.24.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
openmm-torch                     0.1  py36h110734a_5  anaconda/cloud/conda-forge
openmm-torch                     0.1  py36h55d64de_3  anaconda/cloud/conda-forge
openmm-torch                     0.1  py36h6358416_4  anaconda/cloud/conda-forge
openmm-torch                     0.1  py36h6358416_5  anaconda/cloud/conda-forge
openmm-torch                     0.1  py36h819076e_5  anaconda/cloud/conda-forge
openmm-torch                     0.1  py37h4582602_3  anaconda/cloud/conda-forge
openmm-torch                     0.1  py37h6c9353e_4  anaconda/cloud/conda-forge
openmm-torch                     0.1  py37h6c9353e_5  anaconda/cloud/conda-forge
openmm-torch                     0.1  py37h75b3e10_5  anaconda/cloud/conda-forge
openmm-torch                     0.1  py37he33cf7e_5  anaconda/cloud/conda-forge
openmm-torch                     0.1  py38hb63108b_4  anaconda/cloud/conda-forge
openmm-torch                     0.1  py38hb63108b_5  anaconda/cloud/conda-forge
openmm-torch                     0.1  py38hbd2ceb0_5  anaconda/cloud/conda-forge
openmm-torch                     0.1  py38hce562d9_5  anaconda/cloud/conda-forge
openmm-torch                     0.1  py38hfe53b8f_3  anaconda/cloud/conda-forge
openmm-torch                     0.1  py39h36e44b3_5  anaconda/cloud/conda-forge
openmm-torch                     0.1  py39h40ed06c_3  anaconda/cloud/conda-forge
openmm-torch                     0.1  py39h5aba11d_5  anaconda/cloud/conda-forge
openmm-torch                     0.1  py39h64e9529_4  anaconda/cloud/conda-forge
openmm-torch                     0.1  py39h64e9529_5  anaconda/cloud/conda-forge
openmm-torch                     0.2  py36h110734a_0  anaconda/cloud/conda-forge
openmm-torch                     0.2  py36h6358416_0  anaconda/cloud/conda-forge
openmm-torch                     0.2  py36h819076e_0  anaconda/cloud/conda-forge
openmm-torch                     0.2  py37h6c9353e_0  anaconda/cloud/conda-forge
